Phase,Item.Type,Block,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,Correct.Response,reps,feedback,filename
Exposure,Filler,1,14,03,Halken,Set B,non-word,Male,Left,Outnumber,Set B,word,Female,Right,non-word,1,FALSE,Filler_N.Halken.M.L_W.Outnumber.F.R.wav
Exposure,Filler,1,14,02,Galliwinou,Set C,non-word,Male,Right,Panicking,Set C,word,Female,Left,non-word,1,FALSE,Filler_W.Panicking.F.L_N.Galliwinou.M.R.wav
Exposure,Filler,1,15,04,Ornament,Set A,word,Male,Right,Gairelom,Set A,non-word,Female,Left,word,1,FALSE,Filler_N.Gairelom.F.L_W.Ornament.M.R.wav
Exposure,Filler,1,15,03,Ganla,Set B,non-word,Male,Left,Parakeet,Set B,word,Female,Right,non-word,1,FALSE,Filler_N.Ganla.M.L_W.Parakeet.F.R.wav
Exposure,Filler,1,15,02,Emhoutic,Set C,non-word,Male,Right,Pilgrim,Set C,word,Female,Left,non-word,1,FALSE,Filler_W.Pilgrim.F.L_N.Emhoutic.M.R.wav
Exposure,Filler,1,16,04,Pineapple,Set A,word,Male,Right,Bikanian,Set A,non-word,Female,Left,word,1,FALSE,Filler_N.Bikanian.F.L_W.Pineapple.M.R.wav
Exposure,Filler,1,16,03,Dadigal,Set B,non-word,Male,Left,Platonic,Set B,word,Female,Right,non-word,1,FALSE,Filler_N.Dadigal.M.L_W.Platonic.F.R.wav
Exposure,Filler,1,16,02,Dilkuaund,Set C,non-word,Male,Right,Predict,Set C,word,Female,Left,non-word,1,FALSE,Filler_W.Predict.F.L_N.Dilkuaund.M.R.wav
Exposure,Filler,1,17,04,Purgatory,Set A,word,Male,Right,Baliber,Set A,non-word,Female,Left,word,1,FALSE,Filler_N.Baliber.F.L_W.Purgatory.M.R.wav
Exposure,Filler,1,17,03,Bamtell,Set B,non-word,Male,Left,Tactical,Set B,word,Female,Right,non-word,1,FALSE,Filler_N.Bamtell.M.L_W.Tactical.F.R.wav
Exposure,Filler,1,17,02,Bowidai,Set C,non-word,Male,Right,Terminal,Set C,word,Female,Left,non-word,1,FALSE,Filler_W.Terminal.F.L_N.Bowidai.M.R.wav
Exposure,Filler,1,18,04,Therapeutic,Set A,word,Male,Right,Amalar,Set A,non-word,Female,Left,word,1,FALSE,Filler_N.Amalar.F.L_W.Therapeutic.M.R.wav
Exposure,Filler,1,18,03,Anemer,Set B,non-word,Male,Left,Titanium,Set B,word,Female,Right,non-word,1,FALSE,Filler_N.Anemer.M.L_W.Titanium.F.R.wav
Exposure,Filler,1,18,02,Anolipa,Set C,non-word,Male,Right,Turbulent,Set C,word,Female,Left,non-word,1,FALSE,Filler_W.Turbulent.F.L_N.Anolipa.M.R.wav
Exposure,Filler,1,19,04,Tutorial,Set A,word,Male,Right,Ailounam,Set A,non-word,Female,Left,word,1,FALSE,Filler_N.Ailounam.F.L_W.Tutorial.M.R.wav
Exposure,Filler,1,19,03,Lilgrai,Set B,non-word,Male,Left,Umbrella,Set B,word,Female,Right,non-word,1,FALSE,Filler_N.Lilgrai.M.L_W.Umbrella.F.R.wav
Exposure,Filler,1,19,02,Alnadiro,Set C,non-word,Male,Right,Undermine,Set C,word,Female,Left,non-word,1,FALSE,Filler_W.Undermine.F.L_N.Alnadiro.M.R.wav
Exposure,Filler,1,20,04,Wealthy,Set A,word,Male,Right,Acomining,Set A,non-word,Female,Left,word,1,FALSE,Filler_N.Acomining.F.L_W.Wealthy.M.R.wav
Exposure,Filler,1,20,03,Admunker,Set B,non-word,Male,Left,Worldly,Set B,word,Female,Right,non-word,1,FALSE,Filler_N.Admunker.M.L_W.Worldly.F.R.wav
Exposure,Filler,1,20,02,Aigi,Set C,non-word,Male,Right,Wrinkle,Set C,word,Female,Left,non-word,1,FALSE,Filler_W.Wrinkle.F.L_N.Aigi.M.R.wav
