"","workerid","proliferate.condition","word_recall","error"
"32",548,"Condition.22_F_L_A_Sh_01_B_0_1","materials.b_s_talker.a,materials.a_s_talker.b,materials.a_sh_talker.a,materials.b_s_talker.a,materials.a_sh_talker.a",NA
"33",460,"Condition.19_F_L_A_Sh_01_A_1_0","materials.b_s_talker.a,materials.a_sh_talker.a,materials.b_s_talker.a,materials.a_s_talker.b,materials.b_sh_talker.b",NA
"34",447,"Condition.16_F_L_A_S_05_B_1_1","random_word_1,materials.a_s_talker.b,materials.b_sh_talker.b",NA
"35",443,"Condition.11_F_L_A_S_05_A_1_0","random_word_1,materials.a_s_talker.b,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_s_talker.b,materials.b_sh_talker.b",NA
"36",453,"Condition.10_F_L_A_S_05_A_0_1","materials.a_s_talker.b,random_word_2,materials.a_s_talker.b,materials.b_sh_talker.b,materials.a_sh_talker.a,random_word_4",NA
"37",494,"Condition.18_F_L_A_Sh_01_A_0_1","materials.a_s_talker.b,materials.a_sh_talker.a,materials.b_s_talker.a,materials.a_sh_talker.a",NA
"38",550,"Condition.36_M_L_A_S_01_A_1_1","random_word_1,materials.a_s_talker.b,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_s_talker.b,materials.b_sh_talker.b",NA
"39",549,"Condition.59_M_L_A_Sh_05_A_1_0","materials.a_s_talker.b,materials.a_sh_talker.a,materials.b_s_talker.a",NA
"40",543,"Condition.6_F_L_A_S_01_B_0_1","materials.a_s_talker.b,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_s_talker.b,materials.b_sh_talker.b,materials.a_sh_talker.a",NA
"41",448,"Condition.3_F_L_A_S_01_A_1_0","materials.a_s_talker.b,materials.a_sh_talker.a",NA
"44",482,"Condition.46_M_L_A_S_05_B_0_1","materials.a_s_talker.b,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_s_talker.b,materials.a_sh_talker.a",NA
"45",540,"Condition.35_M_L_A_S_01_A_1_0","materials.a_s_talker.b,materials.b_s_talker.a,materials.a_sh_talker.a",NA
"47",458,"Condition.26_F_L_A_Sh_05_A_0_1","materials.b_s_talker.a,materials.a_s_talker.b,materials.b_s_talker.a,materials.b_sh_talker.b,materials.b_sh_talker.b",NA
"48",449,"Condition.60_M_L_A_Sh_05_A_1_1","materials.a_s_talker.b,materials.b_s_talker.a,materials.a_s_talker.b,materials.a_sh_talker.a",NA
"49",444,"Condition.2_F_L_A_S_01_A_0_1","materials.a_s_talker.b,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_s_talker.b,materials.b_sh_talker.b",NA
"50",485,"Condition.9_F_L_A_S_05_A_0_0","materials.b_s_talker.a,materials.a_s_talker.b,materials.a_s_talker.b,materials.b_sh_talker.b,random_word_4",NA
"51",504,"Condition.50_M_L_A_Sh_01_A_0_1","materials.b_s_talker.a,materials.a_s_talker.b,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_sh_talker.a",NA
"52",541,"Condition.45_M_L_A_S_05_B_0_0","materials.a_s_talker.b,materials.b_s_talker.a,materials.b_sh_talker.b",NA
"53",463,"Condition.51_M_L_A_Sh_01_A_1_0","materials.b_s_talker.a,materials.b_s_talker.a,materials.a_sh_talker.a,random_word_4",NA
