Set,Filler.Item_Num,Talker.A_Word,Talker.B_Nonword,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Set.Version,rep,filename
B,18,Titanium,Anemer,Female,Right,Male,Left,3,1,Filler_W.Titanium.F.R_N.Anemer.M.L
B,19,Umbrella,Lilgrai,Female,Right,Male,Left,3,1,Filler_W.Umbrella.F.R_N.Lilgrai.M.L
B,20,Worldly,Admunker,Female,Right,Male,Left,3,1,Filler_W.Worldly.F.R_N.Admunker.M.L
C,1,Ballerina,Youmgel,Female,Left,Male,Right,2,1,Filler_W.Ballerina.F.L_N.Youmgel.M.R
C,2,Burglary,Tymolape,Female,Left,Male,Right,2,1,Filler_W.Burglary.F.L_N.Tymolape.M.R
C,3,Domineering,Tamical,Female,Left,Male,Right,2,1,Filler_W.Domineering.F.L_N.Tamical.M.R
C,4,Embody,Rengime,Female,Left,Male,Right,2,1,Filler_W.Embody.F.L_N.Rengime.M.R
C,5,Gullible,Pourilar,Female,Left,Male,Right,2,1,Filler_W.Gullible.F.L_N.Pourilar.M.R
C,6,Honeymoon,Almikquary,Female,Left,Male,Right,2,1,Filler_W.Honeymoon.F.L_N.Almikquary.M.R
C,7,Illuminate,Niritaly,Female,Left,Male,Right,2,1,Filler_W.Illuminate.F.L_N.Niritaly.M.R
C,8,Ironic,Makid,Female,Left,Male,Right,2,1,Filler_W.Ironic.F.L_N.Makid.M.R
C,9,Laminate,Kaldemia,Female,Left,Male,Right,2,1,Filler_W.Laminate.F.L_N.Kaldemia.M.R
C,10,Liability,Imdalier,Female,Left,Male,Right,2,1,Filler_W.Liability.F.L_N.Imdalier.M.R
C,11,Marina,Kloumidiger,Female,Left,Male,Right,2,1,Filler_W.Marina.F.L_N.Kloumidiger.M.R
C,12,Metirical,Halomimoc,Female,Left,Male,Right,2,1,Filler_W.Metirical.F.L_N.Halomimoc.M.R
C,13,Nightmare,Gerbualo,Female,Left,Male,Right,2,1,Filler_W.Nightmare.F.L_N.Gerbualo.M.R
C,14,Panicking,Galliwinou,Female,Left,Male,Right,2,1,Filler_W.Panicking.F.L_N.Galliwinou.M.R
C,15,Pilgrim,Emhoutic,Female,Left,Male,Right,2,1,Filler_W.Pilgrim.F.L_N.Emhoutic.M.R
C,16,Predict,Dilkuaund,Female,Left,Male,Right,2,1,Filler_W.Predict.F.L_N.Dilkuaund.M.R
C,17,Terminal,Bowidai,Female,Left,Male,Right,2,1,Filler_W.Terminal.F.L_N.Bowidai.M.R
C,18,Turbulent,Anolipa,Female,Left,Male,Right,2,1,Filler_W.Turbulent.F.L_N.Anolipa.M.R
C,19,Undermine,Alnadiro,Female,Left,Male,Right,2,1,Filler_W.Undermine.F.L_N.Alnadiro.M.R
C,20,Winkle,Aigi,Female,Left,Male,Right,2,1,Filler_W.Winkle.F.L_N.Aigi.M.R
